net,length_um
_0172_,7.14µm
_1005_,7.12µm
_1072_,7.12µm
_0001_,7.045µm
des_key_in[47],7.03µm
des_data[13],7.01µm
des_data[63],7.01µm
desc_result[35],7.01µm
_1031_,6.98µm
_1080_,6.98µm
_0058_,6.96µm
_0380_,6.96µm
_0416_,6.92µm
des_key_in[28],6.89µm
_0582_,6.86µm
_0862_,6.86µm
_0095_,6.845µm
_0055_,6.785µm
_0203_,6.78µm
des_key_in[18],6.77µm
des_key_in[2],6.77µm
_0217_,6.76µm
_1082_,6.76µm
_0181_,6.72µm
net16,6.72µm
_0254_,6.705µm
desc_result[24],6.67µm
des_data[47],6.65µm
des_key_in[61],6.65µm
_0063_,6.645µm
_0155_,6.64µm
_0496_,6.64µm
_0575_,6.64µm
_0830_,6.64µm
_0960_,6.64µm
_1000_,6.64µm
_0550_,6.62µm
_0829_,6.62µm
_0489_,6.6µm
_1035_,6.6µm
_1037_,6.6µm
desc_ready,6.55µm
_0426_,6.54µm
_0466_,6.52µm
_0593_,6.52µm
_1076_,6.5µm
_0778_,6.48µm
_0491_,6.46µm
_0202_,6.44µm
_0982_,6.44µm
_0077_,6.42µm
_0239_,6.4µm
_0280_,6.38µm
_0086_,6.365µm
_0159_,6.36µm
_0375_,6.36µm
des_data[53],6.33µm
desc_result[25],6.33µm
desc_result[42],6.33µm
desc_result[7],6.33µm
_0284_,6.32µm
_0441_,6.32µm
des_data[46],6.31µm
_0142_,6.3µm
_0433_,6.3µm
_0556_,6.28µm
_0425_,6.26µm
_1020_,6.26µm
net29,6.26µm
desc_result[46],6.21µm
desc_result[5],6.21µm
_0080_,6.185µm
_0414_,6.18µm
_0972_,6.18µm
_0143_,6.14µm
_0557_,6.14µm
net33,6.14µm
des_key_in[1],6.09µm
_0476_,6.08µm
_0111_,6.04µm
_0127_,6.04µm
net92,5.98µm
des_data[36],5.97µm
des_key_in[6],5.97µm
_0240_,5.94µm
_0883_,5.94µm
_0700_,5.9µm
_0154_,5.86µm
_0242_,5.86µm
_0484_,5.86µm
_0183_,5.84µm
_0258_,5.84µm
_0643_,5.84µm
_0795_,5.84µm
_0262_,5.8µm
_0336_,5.8µm
_0349_,5.8µm
_1050_,5.8µm
_0116_,5.765µm
des_data[50],5.75µm
_0145_,5.7µm
_0842_,5.7µm
net66,5.68µm
desc_result[6],5.65µm
des_decipher_en,5.63µm
des_key_in[62],5.63µm
des_key_in[63],5.63µm
_0114_,5.625µm
_0992_,5.62µm
net101,5.6µm
_0179_,5.58µm
_0337_,5.58µm
_0400_,5.58µm
desc_result[29],5.53µm
desc_result[55],5.53µm
_1094_,5.52µm
_0122_,5.475µm
_0008_,5.465µm
_0035_,5.46µm
_0020_,5.435µm
des_data[1],5.41µm
des_key_in[43],5.41µm
rst_n,5.41µm
_0671_,5.4µm
_1103_,5.4µm
_0140_,5.38µm
_0501_,5.38µm
_1016_,5.38µm
_0189_,5.365µm
_0133_,5.34µm
_0151_,5.34µm
_0249_,5.34µm
_0949_,5.34µm
net45,5.34µm
desc_result[56],5.31µm
desc_result[57],5.31µm
des_data[37],5.29µm
des_key_in[14],5.29µm
des_key_in[30],5.29µm
des_key_in[5],5.29µm
_0141_,5.26µm
_0321_,5.26µm
_0338_,5.26µm
_0354_,5.26µm
_0454_,5.26µm
_0493_,5.26µm
_0841_,5.26µm
encipher_en_sync,5.26µm
_0117_,5.245µm
_0223_,5.23µm
_0212_,5.22µm
_0495_,5.22µm
desc_result[54],5.19µm
_1009_,5.16µm
_1066_,5.14µm
net18,5.14µm
_0320_,5.12µm
_0364_,5.12µm
_0430_,5.12µm
_0436_,5.12µm
_0887_,5.12µm
_0115_,5.085µm
_0951_,5.06µm
_1032_,5.06µm
_0024_,5.045µm
_1021_,5.04µm
_0081_,5.02µm
_0324_,5.02µm
_0619_,5.02µm
des_key_in[15],4.95µm
des_key_in[20],4.95µm
des_key_in[22],4.95µm
des_key_in[46],4.95µm
des_key_in[54],4.95µm
des_key_in[7],4.95µm
_0838_,4.94µm
_0136_,4.92µm
_0417_,4.92µm
_0498_,4.92µm
_0505_,4.92µm
_0678_,4.9µm
_0199_,4.88µm
_0296_,4.88µm
_0477_,4.88µm
_0499_,4.88µm
_0503_,4.88µm
_0840_,4.88µm
_0918_,4.88µm
_1051_,4.88µm
_1095_,4.88µm
_0012_,4.845µm
_0027_,4.845µm
_0072_,4.845µm
_1017_,4.82µm
_0057_,4.8µm
_0073_,4.8µm
_0163_,4.8µm
_0360_,4.8µm
_0793_,4.8µm
net47,4.8µm
_0214_,4.76µm
_1073_,4.76µm
net22,4.76µm
des_key_in[33],4.73µm
des_key_in[49],4.73µm
des_key_in[51],4.73µm
_0067_,4.725µm
_0126_,4.725µm
net102,4.7µm
_0437_,4.68µm
_1070_,4.68µm
_0313_,4.66µm
_0421_,4.66µm
k16_calculation,4.66µm
net100,4.66µm
net107,4.66µm
des_key_in[23],4.61µm
